iter	Logloss
0	0.6726601507
1	0.6538163844
2	0.6364896366
3	0.6208529368
4	0.6061147835
5	0.5927583173
6	0.5804792989
7	0.5688902565
8	0.5584030139
9	0.5488104065
10	0.5398303555
11	0.5313292391
12	0.5238023558
13	0.5165212706
14	0.50985339
15	0.5034739731
16	0.4978998151
17	0.4927334773
18	0.4879186443
19	0.4831744
20	0.4785687945
21	0.4740475289
22	0.4700999199
23	0.4662772654
24	0.4629047377
25	0.4595680687
26	0.4562539157
27	0.4532437335
28	0.4502672511
29	0.4475438552
30	0.4449320976
31	0.442431664
32	0.4401299091
33	0.4378858082
34	0.4357960119
35	0.4337982878
36	0.4316914498
37	0.4298449106
38	0.4279908209
39	0.4263018654
40	0.4246131269
41	0.4230399007
42	0.4214592452
43	0.4199512984
44	0.4185057857
45	0.4171085055
46	0.4157620223
47	0.414555613
48	0.4133474316
49	0.4121067686
50	0.4109341473
51	0.4097814873
52	0.408621676
53	0.4074414033
54	0.4063826069
55	0.4052559355
56	0.4042910392
57	0.40321155
58	0.4022316639
59	0.4013015183
60	0.4004515973
61	0.3996455741
62	0.3988170606
63	0.3979609081
64	0.3971927892
65	0.3963966537
66	0.395697836
67	0.3949272746
68	0.3941638595
69	0.393441562
70	0.3927187548
71	0.3920874053
72	0.3914167193
73	0.3908242672
74	0.3901754181
75	0.389548555
76	0.3888841479
77	0.3882937104
78	0.3877355362
79	0.387100518
80	0.3865619053
81	0.3859358145
82	0.3853653793
83	0.3848557694
84	0.3843525213
85	0.383859349
86	0.3833668623
87	0.3828300665
88	0.3823383389
89	0.3817716371
90	0.3813301288
91	0.3808387411
92	0.3803553011
93	0.379904511
94	0.3794572924
95	0.3790264964
96	0.3786267523
97	0.3781291611
98	0.3776433789
99	0.3771906502
100	0.3767043176
101	0.3763588102
102	0.3759769081
103	0.3756112815
104	0.3752332656
105	0.3747937311
106	0.3743362978
107	0.3740138803
108	0.3735742874
109	0.3731093479
110	0.3727747337
111	0.3723599744
112	0.3718281754
113	0.3714683941
114	0.3711773857
115	0.3706784701
116	0.3702234841
117	0.3698494593
118	0.3692049145
119	0.368822673
120	0.3685134398
121	0.3681700078
122	0.3678203881
123	0.3674854978
124	0.366921198
125	0.3665893249
126	0.366329591
127	0.3658649428
128	0.3654837947
129	0.3651952596
130	0.3649509217
131	0.3646780479
132	0.3641482789
133	0.3638845903
134	0.3635385634
135	0.3631512383
136	0.3627791781
137	0.3625268503
138	0.3622413094
139	0.361957884
140	0.3616186003
141	0.3612236256
142	0.3608415139
143	0.3605778939
144	0.3603118501
145	0.3600138689
146	0.3596522895
147	0.3592483587
148	0.3588849539
149	0.3586336666
150	0.3583642244
151	0.3580485194
152	0.3577812612
153	0.357218543
154	0.357030156
155	0.356767405
156	0.356421889
157	0.3561757611
158	0.3558025006
159	0.3555112308
160	0.3552898404
161	0.3549396693
162	0.3546377941
163	0.3543526081
164	0.3541324262
165	0.3537718305
166	0.3535829012
167	0.3532411205
168	0.3529599073
169	0.3525003064
170	0.352155507
171	0.351894765
172	0.3515973275
173	0.3512476077
174	0.3510141398
175	0.3506137878
176	0.3503305879
177	0.3500565073
178	0.3498393848
179	0.3494551422
180	0.3491380139
181	0.3488242336
182	0.3485203136
183	0.3481613821
184	0.3479046601
185	0.3475436502
186	0.3473247161
187	0.3470261137
188	0.3467535309
189	0.3465119265
190	0.3461840774
191	0.3459946878
192	0.34577665
193	0.3454958158
194	0.344991847
195	0.344788038
196	0.3445960169
197	0.3443357326
198	0.3440517117
199	0.3438177895
200	0.3436560542
201	0.343467335
202	0.3432224996
203	0.3429390966
204	0.342584223
205	0.342221044
206	0.3417379462
207	0.3415319158
208	0.341292029
209	0.340767943
210	0.3404152151
211	0.3400934685
212	0.3398788206
213	0.3396407077
214	0.339471238
215	0.3392707474
216	0.3389822985
217	0.3386446038
218	0.3384762157
219	0.3382564168
220	0.3379597965
221	0.3376817213
222	0.3374500022
223	0.3370680919
224	0.3367258302
225	0.3365386814
226	0.3363219721
227	0.3360495356
228	0.3358641236
229	0.3356895897
230	0.3353889909
231	0.3352408064
232	0.3349216308
233	0.3345538588
234	0.3342686283
235	0.3340566589
236	0.3338291575
237	0.333656628
238	0.3333331418
239	0.3331584678
240	0.3330209348
241	0.3325439837
242	0.3324045402
243	0.3320772033
244	0.3318304611
245	0.3315227043
246	0.3312179129
247	0.3310055146
248	0.3307688533
249	0.3306149018
250	0.3304290107
251	0.330268685
252	0.3300960168
253	0.3297984583
254	0.3295498989
255	0.3293223283
256	0.3292053874
257	0.3290533081
258	0.3287570051
259	0.3285934222
260	0.3284707869
261	0.3283044305
262	0.327923199
263	0.3275890805
264	0.3273328974
265	0.3270080219
266	0.3265985218
267	0.3264331452
268	0.3261547656
269	0.3258758224
270	0.3256739056
271	0.3254780293
272	0.3253109499
273	0.325159618
274	0.3249037582
275	0.3246628544
276	0.3245773329
277	0.3243854214
278	0.3241368388
279	0.3238916139
280	0.3236081325
281	0.3234210563
282	0.3232587419
283	0.3230617881
284	0.322845301
285	0.322616771
286	0.3224466616
287	0.3222750958
288	0.3219813793
289	0.321835587
290	0.321614313
291	0.3213973868
292	0.3211982155
293	0.320816586
294	0.3205583825
295	0.320279345
296	0.3200805819
297	0.3198573991
298	0.3196593551
299	0.3195470779
