iter	Passed	Remaining
0	119	35698
1	279	41627
2	342	33860
3	396	29320
4	451	26645
5	504	24731
6	561	23515
7	620	22652
8	683	22089
9	744	21580
10	806	21177
11	877	21060
12	934	20641
13	995	20338
14	1058	20117
15	1127	20007
16	1186	19754
17	1248	19555
18	1315	19450
19	1375	19262
20	1432	19035
21	1489	18815
22	1543	18591
23	1598	18386
24	1664	18310
25	1722	18149
26	1780	18004
27	1837	17847
28	1894	17703
29	1955	17601
30	2014	17481
31	2072	17353
32	2134	17269
33	2192	17152
34	2249	17033
35	2313	16968
36	2373	16870
37	2431	16763
38	2482	16614
39	2537	16495
40	2589	16359
41	2642	16233
42	2695	16108
43	2748	15989
44	2801	15873
45	2855	15765
46	2910	15667
47	2964	15561
48	3018	15463
49	3071	15356
50	3123	15251
51	3175	15146
52	3229	15052
53	3284	14962
54	3339	14875
55	3394	14790
56	3449	14706
57	3502	14613
58	3555	14521
59	3607	14430
60	3666	14366
61	3764	14450
62	3859	14518
63	3940	14532
64	3992	14436
65	4045	14344
66	4100	14258
67	4153	14169
68	4208	14090
69	4263	14009
70	4319	13933
71	4376	13858
72	4428	13771
73	4485	13698
74	4538	13614
75	4591	13533
76	4647	13458
77	4701	13380
78	4756	13306
79	4814	13241
80	4878	13189
81	4943	13141
82	5005	13085
83	5065	13025
84	5123	12959
85	5184	12901
86	5239	12828
87	5296	12760
88	5350	12685
89	5406	12615
90	5462	12546
91	5519	12479
92	5580	12420
93	5634	12347
94	5689	12278
95	5747	12212
96	5807	12154
97	5866	12091
98	5921	12023
99	5978	11957
100	6031	11884
101	6089	11820
102	6146	11755
103	6201	11686
104	6257	11621
105	6311	11551
106	6369	11489
107	6427	11426
108	6482	11359
109	6536	11290
110	6591	11223
111	6646	11155
112	6698	11085
113	6753	11018
114	6810	10955
115	6864	10888
116	6918	10821
117	6971	10752
118	7025	10686
119	7082	10623
120	7140	10563
121	7196	10499
122	7251	10435
123	7305	10368
124	7360	10304
125	7417	10242
126	7477	10185
127	7532	10122
128	7589	10059
129	7644	9996
130	7703	9937
131	7759	9875
132	7815	9813
133	7873	9753
134	7931	9693
135	7984	9628
136	8042	9569
137	8100	9509
138	8157	9448
139	8214	9388
140	8270	9326
141	8325	9263
142	8380	9200
143	8435	9138
144	8490	9075
145	8547	9015
146	8601	8952
147	8654	8888
148	8709	8826
149	8766	8766
150	8822	8705
151	8879	8645
152	8934	8584
153	8988	8521
154	9046	8462
155	9102	8402
156	9155	8339
157	9212	8279
158	9268	8219
159	9325	8159
160	9381	8099
161	9438	8040
162	9493	7979
163	9550	7919
164	9607	7860
165	9664	7801
166	9721	7742
167	9779	7684
168	9835	7623
169	9889	7562
170	9945	7503
171	10002	7443
172	10059	7384
173	10114	7324
174	10171	7265
175	10224	7203
176	10280	7144
177	10338	7085
178	10392	7024
179	10448	6965
180	10502	6904
181	10559	6846
182	10614	6786
183	10672	6728
184	10727	6668
185	10782	6608
186	10835	6547
187	10889	6487
188	10942	6426
189	10998	6367
190	11056	6309
191	11113	6251
192	11167	6191
193	11223	6132
194	11278	6073
195	11336	6015
196	11392	5956
197	11448	5897
198	11504	5838
199	11559	5779
200	11616	5721
201	11673	5663
202	11728	5604
203	11785	5546
204	11842	5488
205	11900	5430
206	11955	5371
207	12012	5313
208	12069	5255
209	12125	5196
210	12182	5138
211	12238	5080
212	12292	5020
213	12348	4962
214	12406	4905
215	12462	4846
216	12519	4788
217	12573	4729
218	12631	4671
219	12689	4614
220	12745	4556
221	12799	4496
222	12852	4437
223	12908	4379
224	12964	4321
225	13018	4262
226	13072	4204
227	13124	4144
228	13181	4086
229	13238	4029
230	13295	3971
231	13349	3912
232	13406	3855
233	13462	3797
234	13518	3739
235	13575	3681
236	13632	3623
237	13685	3565
238	13738	3506
239	13796	3449
240	13853	3391
241	13908	3333
242	13965	3275
243	14019	3217
244	14073	3159
245	14130	3101
246	14185	3043
247	14244	2986
248	14299	2928
249	14355	2871
250	14412	2813
251	14469	2756
252	14524	2698
253	14578	2640
254	14633	2582
255	14687	2524
256	14743	2466
257	14798	2408
258	14851	2351
259	14907	2293
260	14971	2237
261	15043	2181
262	15107	2125
263	15167	2068
264	15228	2011
265	15292	1954
266	15352	1897
267	15416	1840
268	15476	1783
269	15538	1726
270	15600	1669
271	15661	1612
272	15723	1555
273	15785	1497
274	15851	1441
275	15913	1383
276	15981	1326
277	16049	1270
278	16117	1213
279	16179	1155
280	16244	1098
281	16311	1041
282	16374	983
283	16480	928
284	16554	871
285	16615	813
286	16672	755
287	16727	696
288	16784	638
289	16841	580
290	16898	522
291	16957	464
292	17016	406
293	17074	348
294	17129	290
295	17185	232
296	17240	174
297	17297	116
298	17354	58
299	17410	0
